"name","ipv4address","enabled","distinguishedname","description","LastLogonDate","OperatingSystem"
"UTOD4155156","None Found","True","CN=UTOD4155156,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"8/30/2021 10:45:01 AM","Windows 10 Enterprise"
"UTOdspUNKNOWNv1","None Found","True","CN=UTOdspUNKNOWNv1,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","\ innotek GmbH VirtualBox \0",,
"UTOdsp4074251","None Found","False","CN=UTOdsp4074251,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","3XLDKQ1 \ 4074251 - Dell Inc. OptiPlex 790","5/12/2017 12:31:29 AM","Windows 7 Enterprise"
"UTODSP4155182","None Found","True","CN=UTODSP4155182,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"3/5/2020 10:03:29 AM","Windows 10 Enterprise"
"UTO4108631","10.202.71.164","True","CN=UTO4108631,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/26/2021 12:41:26 PM","Windows 10 Enterprise"
"UTODSP4084966","None Found","True","CN=UTODSP4084966,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Front Desk \ Apple iMac 24 \ C0ZKMGXXDNCR","5/18/2017 2:51:26 AM","Mac OS X"
"UTO4090701","None Found","True","CN=UTO4090701,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"7/7/2021 9:35:07 AM","Windows 10 Enterprise"
"UTOdsp4090715","None Found","True","CN=UTOdsp4090715,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","DigDug \ Dell Inc. OptiPlex  7010 \ DR45GX1","3/14/2019 3:25:10 PM","Windows 10 Enterprise"
"UTOdsp4108772","None Found","True","CN=UTOdsp4108772,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Shahin Rezai / Apple iMac 27 inch Late 2012 / D25KJ1Z5DNMP","1/28/2019 9:20:17 AM","Mac OS X"
"UTODSP4108631V1","None Found","True","CN=UTODSP4108631V1,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","VM used for testing and guide making purposes.","11/15/2019 8:10:41 AM","Windows 10 Enterprise"
"UTODSP4155141","None Found","False","CN=UTODSP4155141,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"6/29/2020 10:45:10 AM","Windows 10 Enterprise"
"UTO4167455","None Found","True","CN=UTO4167455,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"1/11/2021 9:01:39 AM","Windows 10 Enterprise"
"UTODSP4090701v2","None Found","True","CN=UTODSP4090701v2,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"6/26/2018 9:50:01 AM","Windows 10 Enterprise"
"UTO4155221","None Found","True","CN=UTO4155221,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"8/23/2021 10:31:47 AM","Windows 10 Enterprise"
"UTO4090707","None Found","True","CN=UTO4090707,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","149GGX1 \ Dell Inc. OptiPlex 9010","9/16/2021 6:52:27 PM","Windows 10 Enterprise"
"UTODSP4084928","None Found","True","CN=UTODSP4084928,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","DSS PolyTechnic Loaner \ Dell Inc. Optiplex 9010 AIO","2/4/2020 3:47:55 PM","Windows 10 Enterprise"
"UTODSP4118897","None Found","True","CN=UTODSP4118897,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/16/2021 8:15:43 AM","Windows 10 Enterprise"
"UTO4074197","None Found","True","CN=UTO4074197,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"6/21/2019 10:24:07 AM","Windows 10 Enterprise"
"UTODSP4084922","None Found","True","CN=UTODSP4084922,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","DSS PolyTechnic Loaner \ Dell Inc. Optiplex 9010 AIO","3/21/2019 9:40:23 AM","Windows 10 Enterprise"
"UTODSP4155223","None Found","True","CN=UTODSP4155223,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"8/30/2021 2:36:00 PM","Windows 10 Enterprise"
"UTO4167453","None Found","True","CN=UTO4167453,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/7/2021 6:41:24 AM","Windows 10 Enterprise"
"UTO4090698","None Found","True","CN=UTO4090698,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/19/2021 8:52:39 AM","Windows 10 Enterprise"
"UTODSP4084923","None Found","True","CN=UTODSP4084923,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","ECS PolyTechnic Loaner \ Dell Inc. Optiplex 9010 AIO","12/5/2019 8:52:26 AM","Windows 10 Enterprise"
"UTODSP4085000","None Found","True","CN=UTODSP4085000,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","DSS PolyTechnic Loaner \ Dell Inc. Optiplex 9010 AIO","5/21/2019 10:15:06 AM","Windows 10 Enterprise"
"UTODSP4076902","None Found","True","CN=UTODSP4076902,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"3/5/2020 10:25:21 AM","Windows 10 Enterprise"
"UTO4155090","None Found","True","CN=UTO4155090,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Dell 7050 SFF - Cooley Ballroom Conference Room A","9/17/2021 11:29:44 PM","Windows 10 Enterprise"
"UTODSP4108722","None Found","True","CN=UTODSP4108722,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/25/2021 3:26:49 PM","Windows 10 Enterprise"
"UTOEMAILVM1","None Found","True","CN=UTOEMAILVM1,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/24/2021 3:11:38 PM","Windows 10 Enterprise"
"UTO4155222","None Found","True","CN=UTO4155222,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/23/2021 9:35:49 AM","Windows 10 Enterprise"
"UTODSP4093955","None Found","True","CN=UTODSP4093955,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Poly Classrooms Support ASU Sync Computer","7/14/2021 1:39:17 AM","Windows 10 Enterprise"
"UTODSP4093949","None Found","True","CN=UTODSP4093949,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Poly Classrooms Support Clock-in PC","9/17/2021 12:34:09 AM","Windows 10 Enterprise"
"UTODSP4102795","None Found","True","CN=UTODSP4102795,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","7KXKTR1 \ Dell Inc. OptiPlex 990","12/3/2018 3:36:05 PM","Windows 10 Enterprise"
"UTODSP4108618","None Found","True","CN=UTODSP4108618,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","2GL9F42 \ 4108618 - Dell Inc. OptiPlex 9020","9/18/2021 11:10:35 AM","Windows 10 Enterprise"
"UTODSP4092898","None Found","True","CN=UTODSP4092898,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","7KZKTR1 \ Dell Inc. OptiPlex 990","12/22/2019 10:04:49 AM","Windows 10 Enterprise"
"UTODSP4092797","None Found","True","CN=UTODSP4092797,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","7KZRTR1 \ 4092797 -","9/24/2021 10:46:04 AM","Windows 10 Enterprise"
"UTODSP4084906","None Found","True","CN=UTODSP4084906,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","GHOSTEE \","12/31/2018 9:57:24 AM","Windows 10 Enterprise"
"UTODSPGG9R2H2","None Found","True","CN=UTODSPGG9R2H2,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Daniel Camargo \ GG9R2H2 \ Dell Inc. Latitude 7480","9/17/2021 10:39:51 AM","Windows 10 Enterprise"
"UTO4143347","None Found","True","CN=UTO4143347,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","11YQ2H2 \ Dell Inc. Latitude 7480","9/20/2021 11:44:58 AM","Windows 10 Enterprise"
"UTO4092794","None Found","True","CN=UTO4092794,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Email SW","1/2/2019 11:44:04 AM","Windows 10 Enterprise"
"UTODSP4093913","None Found","True","CN=UTODSP4093913,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/24/2021 11:33:11 AM","Windows 10 Enterprise"
"UTOdsp4108618V1","None Found","True","CN=UTOdsp4108618V1,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Dominic Smith \ Virtual Machine","9/17/2021 8:07:14 PM","Windows 10 Enterprise"
"UTODSP4093954","None Found","True","CN=UTODSP4093954,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Poly Classrooms Support ASU Sync Computer","8/16/2021 9:06:44 AM","Windows 10 Enterprise"
"UTODSP4093952","None Found","True","CN=UTODSP4093952,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Poly Classrooms Support ASU Sync Computer","8/15/2021 5:40:24 PM","Windows 10 Enterprise"
"UTODSP4092794","None Found","True","CN=UTODSP4092794,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"1/15/2020 10:23:05 AM","Windows 10 Enterprise"
"UTODSP4084946","None Found","True","CN=UTODSP4084946,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Michael Detwiler \ Dell Inc.  OptiPlex 9010 \ 7G08PW1","9/17/2021 10:44:36 AM","Windows 10 Enterprise"
"UTO4155156","None Found","True","CN=UTO4155156,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/21/2021 10:50:21 AM","Windows 10 Enterprise"
"UTODSP4092895","None Found","True","CN=UTODSP4092895,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","7L1STR1 \ 4092895 - Dell Inc. OptiPlex 990","1/30/2020 10:26:59 AM","Windows 10 Enterprise"
"UTO4074198","None Found","True","CN=UTO4074198,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","3KV3XQ1 \ Dell Inc. OptiPlex 790","2/26/2020 2:29:37 PM","Windows 10 Enterprise"
"UTODSP4102569","None Found","True","CN=UTODSP4102569,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"2/7/2019 2:28:33 PM","Windows 10 Enterprise"
"UTODSP4092798","None Found","True","CN=UTODSP4092798,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","7L1HTR1 \ 4092798 - Dell Inc. OptiPlex 990","7/9/2021 3:57:45 PM","Windows 10 Enterprise"
"UTO4092785","None Found","True","CN=UTO4092785,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Email SW","1/2/2019 12:10:42 PM","Windows 10 Enterprise"
"UTODSP4092894","None Found","True","CN=UTODSP4092894,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","7L2GTR1 \ 4092894 - Dell Inc. OptiPlex 990","12/27/2019 6:01:39 AM","Windows 10 Enterprise"
"UTODSP4155145","None Found","True","CN=UTODSP4155145,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/24/2021 11:54:09 AM","Windows 10 Enterprise"
